 the iv  	 sayang oov
 min. iv  	 min. iv
 v iv  	 v iv
 se iv  	 kropu oov
 , iv  	 , iv
 ga iv  	 ga iv
 se iv  	 odcedim iv
 na iv  	 na iv
 še iv  	 cedilo iv
 in iv  	 in iv
 ta iv  	 ohladim iv
 . iv  	 . iv
 še iv  	 tehtnica iv
 kaže iv  	 kaže iv
 2 oov  	 72 iv
 kje iv  	 kg iv
 . iv  	 . iv
 se iv  	 se iv
 prav iv  	 pravi oov
 da iv  	 da iv
 sem oov  	 sem oov
 v iv  	 v iv
 malo oov  	 malo oov
 več iv  	 več iv
 ki oov  	 kot oov
 imel oov  	 enemu oov
 res oov  	 mesecu oov
 da oov  	 zgubil oov
 skoraj oov  	 skoraj oov
 5 iv  	 5 iv
 bili oov  	 kil iv
 ? iv  	 ? iv
 jaz oov  	 jaz oov
 to iv  	 to iv
 sploh iv  	 sploh iv
 imeti oov  	 ne oov
 dokler iv  	 dokler iv
 na iv  	 na iv
 jo oov  	 vago iv
 tako iv  	 ne oov
 :) iv  	 :) iv
 ne oov  	 ne oov
 bilo oov  	 bilo oov
 še oov  	 švoh iv
 da iv  	 da iv
 bi iv  	 bi iv
 se iv  	 se iv
 spet iv  	 spet iv
 iv  	 združili oov
 ... iv  	 ... iv
 saj oov  	 sigurno iv
 bi iv  	 bi iv
 iv  	 naredili oov
 in iv  	 in iv
 " iv  	 " iv
 toliko oov  	 prerokovali iv
 " iv  	 " iv
 naš iv  	 našo iv
 iv  	 prihodnost iv
 ... iv  	 ... iv
 iv  	 klanjam iv
 se iv  	 se iv
 toliko oov  	 tln iv
 se iv  	 🙏🙏 iv
 btw iv  	 btw iv
 . iv  	 . iv
 konec iv  	 kokice iv
 v iv  	 v iv
 ker iv  	 kinu iv
 bi iv  	 bi iv
 da iv  	 prepovedal iv
 . iv  	 . iv
 od iv  	 od iv
 daj oov  	 50 iv
 ker iv  	 bedarij iv
 s iv  	 sive iv
 sem iv  	 sem iv
 jih iv  	 jih iv
 slišal iv  	 slišal oov
 cca. oov  	 cca. oov
 daj oov  	 50 iv
 . iv  	 . iv
 te iv  	 ostalo iv
 je iv  	 je iv
 bilo oov  	 bilo oov
 res oov  	 hrsk iv
 imaš oov  	 mljask iv
 skupaj oov  	 slurp iv
 ... iv  	 ... iv
 ki oov  	 hb iv
 za iv  	 za iv
 v oov  	 big iv
 imaš oov  	 ass iv
 tv iv  	 tv iv
 ej iv  	 ej iv
 , iv  	 , iv
 a iv  	 a iv
 ti iv  	 ti iv
 danes oov  	 znaš oov
 potem oov  	 pojasniti oov
 kakšen oov  	 kakšno oov
 stvar iv  	 stvar iv
 ? iv  	 ? iv
 tako oov  	 tako oov
 ene iv  	 ene iv
 star oov  	 šest oov
 stvari iv  	 stvari iv
 sem oov  	 sem oov
 te iv  	 te iv
 itak oov  	 vprašal oov
 , iv  	 , iv
 nič oov  	 nič oov
 okoli oov  	 konkretnega oov
 od iv  	 od iv
 tebi oov  	 tebe iv
 . iv  	 . iv
 si iv  	 si iv
 kot iv  	 kot iv
 jaz oov  	 moška oov
 ta oov  	 alenka iv
 :) iv  	 :) iv
 hvala iv  	 hvala iv
 za iv  	 za iv
 odgovor iv  	 odgovor iv
 . iv  	 . iv
 sicer iv  	 sicer iv
 sem iv  	 sem iv
 jaz iv  	 jaz iv
 s iv  	 s iv
 oov  	 svojimi iv
 imeti iv  	 matematičnimi iv
 kmalu iv  	 akrobacijami iv
 prišel iv  	 prišel iv
 do iv  	 do iv
 ker oov  	 rezultata iv
 če oov  	 c iv
 = iv  	 = iv
 te iv  	 -0.306 iv
 , iv  	 , iv
 a iv  	 a iv
 se iv  	 se iv
 bom iv  	 bom iv
 raje iv  	 raje iv
 takole oov  	 držal iv
 takega oov  	 tvojega iv
 iv  	 predloga iv
 . iv  	 . iv
 pri iv  	 pri iv
 čeprav iv  	 četrti iv
 pa iv  	 pa iv
 sem iv  	 sem iv
 ker iv  	 treščil iv
 v iv  	 v iv
 ki oov  	 zid iv
 - iv  	 - iv
 ne iv  	 ne iv
 vem iv  	 vem iv
 več iv  	 več iv
 naprej iv  	 naprej iv
 . iv  	 . iv
 kam iv  	 kam iv
 pride iv  	 pride iv
 zdaj iv  	 zdaj iv
 ta iv  	 ta iv
 ker iv  	 3x iv
 ? iv  	 ? iv
 raje oov  	 hja iv
 ... iv  	 ... iv
 bodo iv  	 bodo iv
 pa iv  	 pa iv
 prišli oov  	 prišli oov
 se iv  	 novi iv
 imel iv  	 obrazi iv
 ... iv  	 ... iv
 in iv  	 in iv
 če oov  	 če oov
 ne iv  	 ne iv
 bo iv  	 bo iv
  	 funkcioniralo iv
 bodo iv  	 bodo iv
 prišel oov  	 prišli oov
 se iv  	 novi iv
 imel iv  	 obrazi iv
 ... iv  	 ... iv
 itd. oov  	 itd. oov
 itd. iv  	 itd. iv
 .. iv  	 .. iv
 slo. oov  	 slo. oov
 kar oov  	 volilci iv
 ... iv  	 ... iv
 končno iv  	 končni iv
 delati oov  	 delec iv
 ta oov  	 atoma iv
 je iv  	 je iv
 vsaj oov  	 vesolje iv
 . iv  	 . iv
 vse iv  	 vse iv
 je iv  	 je iv
 oov  	 povezano iv
 v iv  	 v iv
 eno iv  	 eno iv
 samo iv  	 samo iv
 enkrat iv  	 celoto iv
 , iv  	 , iv
 zato iv  	 zato iv
 ni iv  	 ni iv
 kje iv  	 končnega iv
 potem oov  	 delca iv
 . iv  	 . iv
 ja iv  	 ja iv
 .. iv  	 .. iv
 mislim oov  	 mislim oov
 ... iv  	 ... iv
 ker iv  	 čista iv
 logika iv  	 logika iv
 !! iv  	 !! iv
 včeraj oov  	 včeraj oov
 zvečer iv  	 zvečer iv
 še iv  	 še iv
 ok iv  	 ok iv
 , iv  	 , iv
 danes iv  	 danes iv
 vsa iv  	 vse oov
 narobe iv  	 narobe iv
 , iv  	 , iv
 vmes iv  	 vmes iv
 je iv  	 je iv
 bila oov  	 bila oov
 pa iv  	 pa iv
 noč iv  	 noč iv
 ... iv  	 ... iv
 a iv  	 a iv
 zdaj oov  	 zdaj oov
 sem oov  	 sem oov
 pa iv  	 pa iv
 jaz oov  	 jaz oov
 prav oov  	 packa iv
 ?? iv  	 ?? iv
 :) iv  	 :) iv
 :) iv  	 :) iv
 :) iv  	 :) iv
 z iv  	 z iv
 še oov  	 kongresnega iv
 takega oov  	 trga iv
 se iv  	 se iv
 danes iv  	 danes iv
 zvečer iv  	 zvečer iv
 ni iv  	 ni iv
 dal iv  	 dalo iv
 niti iv  	 niti iv
 oov  	 tweeta iv
 potem oov  	 poslati oov
 , iv  	 , iv
 pa iv  	 pa iv
 ni iv  	 ni iv
 bilo oov  	 bilo oov
 na oov  	 2000 iv
 ljudi iv  	 ljudi iv
 tam iv  	 tam iv
 , iv  	 , iv
 dajte oov  	 dajte oov
 malo oov  	 malo oov
 oov  	 pipico oov
 oov  	 odpreti oov
 vam iv  	 vraga iv
 !!! iv  	 !!! iv
 jao iv  	 jao iv
 , iv  	 , iv
 pa iv  	 pa iv
 ne iv  	 ne iv
 valjda iv  	 vidva iv
 o iv  	 o iv
 boljše iv  	 biološki iv
 kakšen oov  	 uri iv
 ... iv  	 ... iv
 toliko oov  	 tipi iv
 so iv  	 so iv
 tukaj iv  	 tukaj iv
 v iv  	 v iv
 ziher iv  	 rahli iv
 potem oov  	 prednosti iv
 . iv  	 . iv
 you iv  	 you iv
 na oov  	 can iv
 imaš oov  	 make iv
 iv  	 babies iv
 za oov  	 any iv
 time iv  	 time iv
 . iv  	 . iv
 :) iv  	 :) iv
 ziher iv  	 fazer iv
 ima iv  	 ima iv
 imaš oov  	 sharkyje oov
 za iv  	 za iv
 ker iv  	 6000 iv
 s iv  	 sit iv
 + iv  	 + iv
 ta oov  	 barvanje iv
 okoli oov  	 okoli oov
 2 iv  	 2 iv
 ki oov  	 k iv
 . iv  	 . iv
 hm iv  	 hm iv
 , iv  	 , iv
 na oov  	 nana iv
 mi iv  	 mi iv
 je iv  	 je iv
 boljše iv  	 bližje oov
 v iv  	 v iv
 svojo iv  	 svoji iv
 jaz oov  	 jazz iv
 imaš iv  	 fazi iv
 . iv  	 . iv
 zelo iv  	 zelo iv
 lep iv  	 lep iv
 ker oov  	 glas iv
 . iv  	 . iv
 od iv  	 od iv
 kar iv  	 grških iv
 oov  	 srceparalic iv
 pa iv  	 pa iv
 imaš oov  	 imaš oov
 tule oov  	 tule oov
 sta iv  	 kotsirasa iv
 :) iv  	 :) iv
 jap oov  	 jap oov
 , iv  	 , iv
 gre iv  	 gre iv
 za iv  	 za iv
 no iv  	 kompleten iv
 danes oov  	 dablspik iv
 . iv  	 . iv
 kakšen oov  	 orwell iv
 bi iv  	 bi iv
 lahko iv  	 lahko iv
 imaš oov  	 samega iv
 ste iv  	 sebe iv
 ta oov  	 trepljal iv
 po iv  	 po iv
 vam iv  	 ramenu iv
 . iv  	 . iv
 ker iv  	 ker iv
 sem iv  	 sem iv
 čeprav iv  	 prepričan iv
 , iv  	 , iv
 da iv  	 da iv
 če iv  	 če iv
 za  	 znaš iv
 oov  	 pisati iv
 za  	 znaš iv
 tudi iv  	 tudi iv
 biti iv  	 brati iv
 potem iv  	 potem iv
 ker iv  	 beri iv
 jaz iv  	 naslednjič iv
 malo iv  	 malo iv
 bili iv  	 bolje iv
 in iv  	 in iv
 pojdi iv  	 preberi iv
 to iv  	 to iv
 , iv  	 , iv
 da iv  	 da iv
 meni iv  	 meni iv
 ne iv  	 ne iv
 oov  	 ustreza iv
 potem iv  	 nobeden iv
 od iv  	 od iv
 njih iv  	 njih iv
 , iv  	 , iv
 ampak iv  	 ampak iv
 da iv  	 da iv
 je iv  	 je iv
 problem iv  	 problem iv
 v iv  	 v iv
 tem iv  	 tem iv
 , iv  	 , iv
 da iv  	 da iv
 le iv  	 le iv
 ti iv  	 ti iv
 skozi oov  	 ustrezajo iv
 ta iv  	 takšnim iv
 kot iv  	 kot iv
 si iv  	 si iv
 ti iv  	 ti iv
 . iv  	 . iv
 in iv  	 in iv
 piše iv  	 piše iv
 , iv  	 , iv
 da iv  	 da iv
 dokler iv  	 dokler iv
 bodo iv  	 bodo iv
 ta iv  	 takšni iv
 bodo iv  	 bodo iv
 tudi iv  	 tudi iv
 prišel iv  	 šerifi iv
 :) iv  	 :) iv
 še iv  	 še iv
 to iv  	 to iv
 zdajle oov  	 pozabil oov
 lepo iv  	 lepo iv
 valjda iv  	 vabljen iv
 na iv  	 na iv
 raje oov  	 kontest iv
 ki iv  	 ki iv
 bo iv  	 bo iv
 ... iv  	 ... iv
 avto iv  	 avto iv
 pride iv  	 pride iv
 danes iv  	 danes iv
 ob iv  	 ob iv
 en iv  	 9 iv
 .. iv  	 .. iv
 lp iv  	 lp iv
 daj oov  	 daj oov
 še oov  	 tweetni oov
 ker iv  	 link iv
 do iv  	 do iv
 veliko iv  	 sprejetih iv
 veliko iv  	 zakonov iv
 potem oov  	 potem oov
 :) iv  	 :) iv
 v iv  	 v iv
 skupaj oov  	 sklopu iv
 stvari iv  	 stvari iv
 ki oov  	 ki oov
 sem oov  	 sem oov
 ti iv  	 ti iv
 jih iv  	 jih iv
 oov  	 pošiljal oov
 zadnje iv  	 zadnje iv
 časa oov  	 čase oov
 ... iv  	 ... iv
 lahko oov  	 lahko oov
 bi iv  	 bi iv
 da  	 dz iv
 imel oov  	 imel oov
 oov  	 twitterbota iv
 5 iv  	 😃 iv
 iv  	 nekomu iv
 je iv  	 je iv
 kar oov  	 sarkazem oov
 še oov  	 detektor iv
 ker oov  	 crknil oov
 . iv  	 . iv
 če iv  	 če iv
 je iv  	 je iv
 meni oov  	 meni oov
 naj iv  	 naj iv
 mi iv  	 mi iv
 z oov  	 pls oov
 en iv  	 en iv
 potem oov  	 dostavi oov
 nove iv  	 nove iv
 ali oov  	 aa iv
 biti iv  	 baterije iv
 za  	 zanj iv
 . iv  	 . iv
 a iv  	 a iv
 mi iv  	 mi iv
 lahko iv  	 lahko iv
 kdo iv  	 kdo iv
 drugega iv  	 predlaga iv
 dobro iv  	 dobro iv
 veliko iv  	 urološko iv
 ta oov  	 ambulanto iv
 prosim iv  	 prosim iv
 ? iv  	 ? iv
 hvala iv  	 hvala iv
 že iv  	 že iv
 a iv  	 vnaprej iv
 ...... iv  	 ...... iv
 smo iv  	 smo iv
 malo oov  	 malo oov
 preveč iv  	 preveč iv
 " iv  	 " iv
 v iv  	 rumeni iv
 " iv  	 " iv
 ;) iv  	 ;) iv
 je iv  	 je iv
 pa iv  	 pa iv
 včeraj iv  	 včeraj iv
 pri oov  	 prispela iv
 naj oov  	 tvoja iv
 ko iv  	 soseda iv
 and oov  	 nada iv
 z iv  	 z iv
 vem iv  	 družino iv
 . iv  	 . iv
 je iv  	 je iv
 bila iv  	 bila iv
 dela iv  	 dolga iv
 noč iv  	 noč iv
 in iv  	 in iv
 imam oov  	 imam oov
 tudi oov  	 tudi oov
 samo oov  	 sam iv
 jaz oov  	 jet iv
 šla oov  	 lag iv
 . iv  	 . iv
 do iv  	 do iv
 potem oov  	 potankosti oov
 me iv  	 me iv
 potem oov  	 izpraša iv
 zakaj iv  	 zakaj iv
 nisem oov  	 nisem oov
 šla iv  	 šla iv
 delati oov  	 delat iv
 , iv  	 , iv
 za iv  	 za iv
 potem oov  	 pol iv
 ker iv  	 vasi iv
 me iv  	 me iv
 iv  	 vpraša iv
 če iv  	 če iv
 tudi oov  	 tudi oov
 niso iv  	 niso iv
 mislil oov  	 mogli oov
 it iv  	 iti oov
 in iv  	 in iv
 zdaj oov  	 zdaj oov
 mi iv  	 mi iv
 ne iv  	 ne iv
 verjame iv  	 verjame iv
 , iv  	 , iv
 da iv  	 da iv
 je iv  	 je iv
 bil iv  	 bil iv
 ali oov  	 plaz iv
 . iv  	 . iv
 ja iv  	 sprašujem iv
 se iv  	 se iv
 , iv  	 , iv
 bo iv  	 čigavo iv
 vseeno oov  	 snežno iv
 toliko oov  	 skulpturo oov
 bi iv  	 bi iv
 lahko iv  	 lahko iv
 da iv  	 slovenjgradčani iv
 oov  	 postavili oov
 na iv  	 na iv
 iv  	 trgu iv
 potem oov  	 svobode iv
 ? iv  	 ? iv
 kdo iv  	 kdo iv
 vse iv  	 vse iv
 je iv  	 je iv
 pa iv  	 pa iv
 pri oov  	 pri oov
 nas iv  	 nas iv
 kje iv  	 gotof iv
 ? iv  	 ? iv
 je iv  	 je iv
 sploh oov  	 sploh oov
 kdo iv  	 kdo iv
 ? iv  	 ? iv
 evo iv  	 evo iv
 se iv  	 mojega oov
 vsaj iv  	 scenarija iv
 za iv  	 za iv
 iv  	 brazilijo iv
 : iv  	 : iv
 imaš oov  	 massa iv
 bo iv  	 bo iv
 naredil iv  	 naredil iv
 tule iv  	 kamikaze iv
 in iv  	 in iv
 se iv  	 se iv
 začel oov  	 zaletel iv
 v iv  	 v iv
 enega iv  	 enega iv
 potem oov  	 izmed iv
 v  	 mclarnov iv
 , iv  	 , iv
 najprej iv  	 najraje iv
 vidim iv  	 vidim iv
 da iv  	 da iv
 se iv  	 se iv
 v iv  	 v iv
 hotel iv  	 hamiltona iv
 , iv  	 , iv
 noter oov  	 nato iv
 se iv  	 se iv
 v  	 bosta iv
 v iv  	 udarila iv
 mene iv  	 räikkönen oov
 in iv  	 in iv
 danes oov  	 alonso iv
 za iv  	 za iv
 v iv  	 naslov iv
 , iv  	 , iv
 no iv  	 no iv
 ..... iv  	 ..... iv
 to iv  	 to iv
 bi iv  	 bi iv
 bil iv  	 bil iv
 moj iv  	 moj iv
 vsaj iv  	 scenarij iv
 :p iv  	 :p iv
 seveda iv  	 seveda iv
 če iv  	 če iv
 bi iv  	 bi iv
 bil iv  	 bil iv
 res iv  	 režiser iv
 denarja iv  	 dajana iv
 , iv  	 , iv
 potem oov  	 morda iv
 je iv  	 je iv
 poden iv  	 podobno iv
 kot iv  	 kot iv
 pri iv  	 pri iv
 v iv  	 lastnih iv
 ker iv  	 otrocih iv
 ... iv  	 ... iv
 potem oov  	 morda iv
 jim iv  	 jim iv
 oov  	 nudimo iv
 več iv  	 več iv
 , iv  	 , iv
 kot iv  	 kot iv
 je iv  	 je iv
 res iv  	 resnično iv
 dobro iv  	 dobro iv
 ? iv  	 ? iv
 preveč iv  	 preveč iv
 oov  	 dajati iv
 je iv  	 je iv
 vsaj iv  	 razvajanje iv
 , iv  	 , iv
 je iv  	 je iv
 oov  	 potuha iv
 ... iv  	 ... iv
 vsak iv  	 vsak iv
 sicer iv  	 išče iv
 ravno iv  	 ravno iv
 pravi iv  	 pravo iv
 potem oov  	 mero iv
 . iv  	 . iv
 :) iv  	 :) iv
 tudi iv  	 tudi iv
 jaz iv  	 jaz iv
 . iv  	 . iv
 potem oov  	 sailor565 iv
 , iv  	 , iv
 tudi iv  	 tudi iv
 oov  	 pometala iv
 sem iv  	 sem iv
 že iv  	 že iv
 danes iv  	 danes iv
 :))) iv  	 :-))) iv
 in iv  	 in iv
 jo iv  	 jo iv
 oov  	 parkirala iv
 . iv  	 . iv
 ampak iv  	 ampak iv
 smo iv  	 smo iv
 ta oov  	 zmagali oov
 ! iv  	 ! iv
 :))) iv  	 :))) iv
 mene iv  	 mene iv
 so iv  	 so iv
 kar iv  	 kar iv
 tako iv  	 tako iv
 , iv  	 , iv
 da  	 ad iv
 : oov  	 hoc iv
 , iv  	 , iv
 oov  	 uštulili oov
 zraven iv  	 zraven iv
 , iv  	 , iv
 ker iv  	 ker iv
 sem iv  	 sem iv
 pač iv  	 pač iv
 tam iv  	 tam iv
 prišel oov  	 prespal iv
 . iv  	 . iv
 če iv  	 če iv
 bi iv  	 bi iv
 prej iv  	 prej iv
 vedel oov  	 vedel oov
 ... iv  	 ... iv
 :) iv  	 :) iv
 tw. oov  	 wow iv
 .. iv  	 .. iv
 danes iv  	 španci iv
 z iv  	 pokazali iv
 svojo iv  	 svojo iv
 potem oov  	 moč iv
 ! iv  	 ! iv
 jih iv  	 jih iv
 pa iv  	 pa iv
 ja iv  	 ja iv
 šla iv  	 šolajo iv
 .. iv  	 .. iv
 veliko iv  	 ivković iv
 bo iv  	 bo iv
 spet iv  	 spet iv
 potem iv  	 nekoga iv
 drugega iv  	 drugega oov
 kakšen iv  	 krivil iv
 za iv  	 za iv
 gori oov  	 grozen oov
 ne oov  	 poraz iv
 .. iv  	 .. iv
 če iv  	 če iv
 bo iv  	 bo iv
 šel oov  	 šlo oov
 tako oov  	 tako oov
 naprej iv  	 naprej iv
 ! iv  	 ! iv
 hvala iv  	 hvala iv
 :) iv  	 :) iv
 ampak iv  	 ampak iv
 tole iv  	 tole iv
 moram oov  	 moram oov
 še iv  	 še iv
 malo oov  	 malo oov
 itak oov  	 raziskati oov
 ... iv  	 ... iv
 of iv  	 uf iv
 .. iv  	 .. iv
 ta oov  	 tuhtam iv
 :))) oov  	 ;)) iv
 hehe iv  	 hehe iv
 ... iv  	 ... iv
 če iv  	 če iv
 kaj oov  	 kaj oov
 ne iv  	 ne iv
 bom iv  	 bom iv
 valjda oov  	 vedela oov
 .. iv  	 .. iv
 dobiš iv  	 dobiš iv
 oov  	 private iv
 noter oov  	 note iv
 :))) oov  	 ;)) iv
 malo iv  	 malo iv
 z iv  	 predintermezzo iv
 .. iv  	 .. iv
 kot oov  	 tek iv
 toliko oov  	 toliko oov
 da iv  	 da iv
 se iv  	 se iv
 ste iv  	 ste iv
 ta iv  	 opazili oov
 kako iv  	 kako iv
 se iv  	 se iv
 vsi iv  	 vsi iv
 oov  	 čudijo oov
 skozi oov  	 kako oov
 je iv  	 je iv
 to iv  	 to iv
 nas oov  	 na oov
 se iv  	 norv. oov
 mogoče oov  	 mogoče oov
 , iv  	 , iv
 a iv  	 a iv
 nihče oov  	 nihče oov
 ne iv  	 ne iv
 na  	 bere iv
 ne oov  	 nesbøja oov
 ali iv  	 ali iv
 ker iv  	 larssona iv
 , iv  	 , iv
 vsaj iv  	 saj iv
 so iv  	 so iv
 danes oov  	 skand. oov
  	 precej iv
 na oov  	 naci iv
 in iv  	 in iv
 a iv  	 kseno iv
 ne iv  	 ne iv
 vem iv  	 vem iv
 . iv  	 . iv
 pojdi iv  	 mediji iv
 so iv  	 so iv
 kar iv  	 kar iv
 ornk iv  	 ornk iv
 gori oov  	 gonjo iv
 začel iv  	 zagnali iv
 proti iv  	 proti iv
 oov  	 njemu iv
 , iv  	 , iv
 tako iv  	 tako iv
 da iv  	 da iv
 po oov  	 po oov
 se iv  	 se iv
 mu iv  	 mu iv
 ne iv  	 ne iv
 piše iv  	 piše iv
 kaj iv  	 kaj iv
 drugega iv  	 dobrega iv
 . iv  	 . iv
 saj oov  	 saj oov
 je iv  	 je iv
 kar oov  	 kar oov
 nekaj oov  	 nekaj oov
 ljudi iv  	 ljudi iv
 prišel oov  	 prišlo oov
 gledati oov  	 gledat iv
 , iv  	 , iv
 tako oov  	 tako oov
 da iv  	 da iv
 ne iv  	 ne iv
 vem iv  	 vem iv
 kako iv  	 kako iv
 smo iv  	 smo iv
 se iv  	 se iv
 lahko iv  	 lahko iv
 ful oov  	 falili oov
 a iv  	 a iv
 biti iv  	 obstaja iv
 življenje iv  	 življenje iv
 na iv  	 na iv
 ker iv  	 zemlji iv
 jutri iv  	 jutri iv
 pa iv  	 pa iv
 oov  	 služba oov
 , iv  	 , iv
 v oov  	 juhu oov
 !! iv  	 !! iv
 saj oov  	 saj oov
 vem iv  	 vem iv
 , iv  	 , iv
 da iv  	 da iv
 je iv  	 je iv
 čudno oov  	 čudno oov
 . iv  	 . iv
 samo iv  	 samo iv
 po iv  	 po iv
 ta oov  	 takem iv
 časa oov  	 času oov
 doma iv  	 doma iv
 , iv  	 , iv
 mi iv  	 mi iv
 res iv  	 res iv
 s iv  	 sede iv
 it iv  	 iti oov
 delati oov  	 delat iv
 , iv  	 , iv
 res iv  	 res iv
 oov  	 uživam oov
 :) iv  	 :) iv
 pa iv  	 pa iv
 se iv  	 še oov
 skupaj oov  	 kup iv
 oov  	 idej iv
 sem oov  	 sem oov
 dobila iv  	 dobila iv
 :d iv  	 :d iv
 sem iv  	 sem iv
 tudi oov  	 tudi oov
 jaz iv  	 jaz iv
 že iv  	 že iv
 potem iv  	 pomislil iv
 veliko oov  	 večkrat iv
 , iv  	 , iv
 če iv  	 če iv
 imajo iv  	 imajo iv
 ker iv  	 konz. iv
 se iv  	 stranke iv
 jaz oov  	 nesrečo iv
 oz. iv  	 oz. iv
 ne iv  	 ne iv
 zanima iv  	 znajo iv
 zaradi oov  	 zbrati oov
 pri oov  	 pr iv
 ali iv  	 ali iv
 so iv  	 so iv
 oov  	 podtaknjenci iv
 po iv  	 po iv
 oov  	 kosilu iv
 se iv  	 se iv
 mi iv  	 mi iv
 zdi iv  	 zdi iv
 , iv  	 , iv
 da iv  	 da iv
 mi iv  	 mi iv
 oov  	 pešajo iv
 se iv  	 moči iv
 en iv  	 en iv
 lahko oov  	 lahkoten iv
 ti iv  	 nedeljski iv
 pozdrav iv  	 pozdrav iv
 v iv  	 v iv
 drugače iv  	 domače iv
 ja iv  	 loge iv
 ! iv  	 ! iv
 toliko oov  	 duš oov
 , iv  	 , iv
 v iv  	 v iv
 v iv  	 začetku iv
 , iv  	 , iv
 ko iv  	 ko iv
 sem iv  	 sem iv
 ga iv  	 ga iv
 začel iv  	 začela iv
 potem oov  	 špikati oov
 , iv  	 , iv
 ni iv  	 ni iv
 nikoli oov  	 nikoli oov
 iv  	 zajamral oov
 ..... iv  	 ..... iv
 zdaj oov  	 zdaj oov
 pa iv  	 pa iv
 skoraj oov  	 skoraj oov
 ne iv  	 vsakič iv
 ... iv  	 ... iv
 a iv  	 a iv
 sem iv  	 sem iv
 se iv  	 se iv
 oov  	 poslabšala iv
 ali oov  	 ali oov
 kaj oov  	 kaj oov
 ?? iv  	 ??? iv
 se iv  	 nice iv
 one iv  	 one iv
 . iv  	 . iv
 :) iv  	 :) iv
 ti iv  	 ti iv
 mu iv  	 mu iv
 boš iv  	 boš iv
 oov  	 pošerala iv
 ker iv  	 link iv
 , iv  	 , iv
 takega iv  	 katerega oov
 ti iv  	 ti iv
 bom iv  	 bom iv
 dela iv  	 dala iv
 na iv  	 na iv
 da  	 dm iv
 , iv  	 , iv
 enkrat iv  	 nakar iv
 bo iv  	 bo iv
 on iv  	 on iv
 samo iv  	 samo iv
 na iv  	 na iv
 zelo oov  	 telefonu iv
 naj iv  	 nanj iv
 prišel oov  	 pritisnil oov
 in iv  	 in iv
 ga iv  	 ga iv
 bo iv  	 bo iv
 potem oov  	 peljal oov
 zdajle iv  	 dalje iv
 . iv  	 . iv
 meni iv  	 meni iv
 daj iv  	 druženje oov
 včasih oov  	 včasih oov
 cel iv  	 celo oov
 bomo iv  	 breme iv
 ker iv  	 predstavlja iv
 :/ iv  	 :/ iv
 . iv  	 . iv
 saj oov  	 saj oov
 potem oov  	 potem oov
 ki oov  	 ko oov
 sem oov  	 sem oov
 tam oov  	 tam oov
 je iv  	 je iv
 super iv  	 super iv
 , iv  	 , iv
 ampak iv  	 ampak iv
 prej iv  	 prej iv
 sem oov  	 sem oov
 pa iv  	 pa iv
 me  	 meh iv
 ne iv  	 ne iv
 da iv  	 da iv
 se iv  	 se iv
 mi iv  	 mi iv
 :/ iv  	 :/ iv
 . iv  	 . iv
 zdaj oov  	 zdaj oov
 , iv  	 čakamo iv
 samo iv  	 samo iv
 še iv  	 še iv
 na iv  	 na iv
 toliko oov  	 pošiljko iv
 , iv  	 novih iv
 veliko oov  	 vezalk iv
 za iv  	 za iv
 oov  	 čevlje iv
 ( iv  	 ( iv
 boljše oov  	 varnost iv
 ) iv  	 ) iv
 in iv  	 in iv
 oov  	 pilice oov
 za iv  	 za iv
 noter iv  	 nohte iv
 ( iv  	 ( iv
 se iv  	 higiena iv
 , iv  	 , iv
 še oov  	 izgled iv
 ) iv  	 ) iv
 - iv  	 - iv
 cca. oov  	 cca. oov
 potem oov  	 578.000 iv
 € iv  	 € iv
 .... iv  	 .... iv
 :) iv  	 :) iv
 nihče iv  	 nihče iv
 , iv  	 , iv
 ker iv  	 ker iv
 nimajo iv  	 nimajo iv
 denarja oov  	 denarja oov
 pa iv  	 pa iv
 še iv  	 še iv
 nekdo iv  	 ekologi iv
 bi iv  	 bi iv
 to iv  	 to iv
 kaj iv  	 preprečili iv
 , iv  	 , iv
 še iv  	 še iv
 preden iv  	 preden iv
 bi iv  	 bi iv
 kdo iv  	 kdo iv
 potem iv  	 pomislil iv
 na iv  	 na iv
 to iv  	 to iv
 . iv  	 . iv
 no iv  	 no iv
 saj oov  	 saj oov
 jaz iv  	 jaz iv
 sem iv  	 sem iv
 pa iv  	 pa iv
 na iv  	 na iv
 ker oov  	 555 iv
 mislim oov  	 m iv
 . iv  	 . iv
 biti iv  	 obstaja iv
 tudi iv  	 tudi iv
 kaj iv  	 kaj iv
 bolj iv  	 bolj iv
 ker iv  	 annoyingly iv
 danes oov  	 glasnega iv
 in iv  	 in iv
 drugega iv  	 polnega iv
 imaš oov  	 samega iv
 ste iv  	 sebe iv
 , iv  	 , iv
 kot iv  	 kot iv
 potem iv  	 konoba iv
 , iv  	 , iv
 ko iv  	 polna iv
 ta iv  	 italijanov oov
 ? iv  	 ? iv
 jap oov  	 jap oov
 . iv  	 . iv
 3 iv  	 3 iv
 skoraj iv  	 preseratorski iv
 oov  	 slovenceljni iv
 . iv  	 . iv
 hvala iv  	 hvala iv
 meni oov  	 meni oov
 se iv  	 se iv
 potem oov  	 zdijo iv
 enkrat iv  	 povprečne iv
 :) iv  	 :) iv
 v oov  	 umrla iv
 bi iv  	 bi iv
 , iv  	 , iv
 če iv  	 če iv
 bi iv  	 bi iv
 a oov  	 a) iv
 imaš iv  	 mami iv
 imela oov  	 imela oov
 fb iv  	 fb iv
